School,State,Control,Total Applications,Total Accepted,Acceptance Rate,Total Cost,Total Population,Male Population,Female Population,Male Percentage,Female Percentage, M/F 
Miami University-Oxford,OH,Public,"29,990","26,571",88.60%,"$58,247","19,264","8,950","10,314",46.46%,53.54%,46/54
Michigan State University,MI,Public,"50,630","42,150",83.25%,"$57,576","49,659","23,366","26,293",47.05%,52.95%,47/53
Michigan Technological University,MI,Public,"8,041","6,895",85.75%,"$55,238","7,008","4,946","2,062",70.58%,29.42%,71/29
Middle Georgia State University,GA,Public,"2,446","2,431",99.39%,"$30,615","7,843","3,428","4,415",43.71%,56.29%,44/56
Middle Tennessee State University,TN,Public,"11,244","7,691",68.40%,"$43,586","21,568","9,475","12,093",43.93%,56.07%,44/56
Middlebury College,VT,Private not-for-profit,"11,906","1,601",13.45%,"$82,260","2,937","1,334","1,603",45.42%,54.58%,45/55
Midland University,NE,Private not-for-profit,"1,691","1,078",63.75%,"$52,990","1,671",759,912,45.42%,54.58%,45/55
Midwestern Baptist Theological Seminary,MO,Private not-for-profit,212,207,97.64%,"$31,305","3,514","2,844",670,80.93%,19.07%,81/19
Midwestern State University,TX,Public,"3,887","3,677",94.60%,"$26,705","5,797","2,050","3,747",35.36%,64.64%,35/65
Millersville University of Pennsylvania,PA,Public,"6,087","5,866",96.37%,"$39,332","7,191","2,786","4,405",38.74%,61.26%,39/61
Millikin University,IL,Private not-for-profit,"3,049","2,281",74.81%,"$57,568","1,906",817,"1,089",42.86%,57.14%,43/57
Milwaukee School of Engineering,WI,Private not-for-profit,"4,522","3,017",66.72%,"$61,938","2,747","1,969",778,71.68%,28.32%,72/28
Minnesota State University Moorhead,MN,Public,"3,143","2,254",71.71%,"$33,900","5,088","1,814","3,274",35.65%,64.35%,36/64
Minnesota State University-Mankato,MN,Public,"9,859","6,850",69.48%,"$32,604","14,576","6,338","8,238",43.48%,56.52%,43/57
Minot State University,ND,Public,551,487,88.38%,"$20,550","2,836","1,006","1,830",35.47%,64.53%,35/65
Misericordia University,PA,Private not-for-profit,"2,184","1,946",89.10%,"$52,966","2,239",699,"1,540",31.22%,68.78%,31/69
Mississippi College,MS,Private not-for-profit,"2,339","1,146",49.00%,"$39,427","4,250","1,589","2,661",37.39%,62.61%,37/63
Mississippi State University,MS,Public,"17,707","13,478",76.12%,"$43,153","23,086","11,264","11,822",48.79%,51.21%,49/51
Mississippi University for Women,MS,Public,422,419,99.29%,"$22,093","2,477",506,"1,971",20.43%,79.57%,20/80
Mississippi Valley State University,MS,Public,"3,155","2,480",78.61%,"$21,606","2,064",837,"1,227",40.55%,59.45%,41/59
Missouri Baptist University,MO,Private not-for-profit,699,432,61.80%,"$49,801","4,983","1,946","3,037",39.05%,60.95%,39/61
Missouri Southern State University,MO,Public,"1,695","1,642",96.87%,"$28,037","4,352","1,686","2,666",38.74%,61.26%,39/61
Missouri State University-Springfield,MO,Public,"9,726","9,128",93.85%,"$32,562","22,925","9,175","13,750",40.02%,59.98%,40/60
Missouri University of Science and Technology,MO,Public,"5,533","4,725",85.40%,"$44,361","7,241","5,543","1,698",76.55%,23.45%,77/23
Missouri Valley College,MO,Private not-for-profit,"2,342","1,543",65.88%,"$37,150","1,776","1,001",775,56.36%,43.64%,56/44
Molloy College,NY,Private not-for-profit,"5,108","4,052",79.33%,"$56,830","4,910","1,210","3,700",24.64%,75.36%,25/75
Monmouth University,NJ,Private not-for-profit,"8,208","6,857",83.54%,"$64,273","5,436","1,867","3,569",34.35%,65.65%,34/66
Monroe College,NY,Private for-profit,"3,845","1,505",39.14%,"$33,942","7,256","2,577","4,679",35.52%,64.48%,36/64
Montana State University,MT,Public,"26,741","19,522",73.00%,"$46,404","16,788","8,733","8,055",52.02%,47.98%,52/48
Montana Technological University,MT,Public,"1,594","1,432",89.84%,"$39,301","1,683","1,032",651,61.32%,38.68%,61/39
Montclair State University,NJ,Public,"18,691","16,936",90.61%,"$42,052","20,744","7,567","13,177",36.48%,63.52%,36/64
Moody Bible Institute,IL,Private not-for-profit,298,291,97.65%,"$34,222","2,606","1,419","1,187",54.45%,45.55%,54/46
Moravian University,PA,Private not-for-profit,"2,789","2,178",78.09%,"$68,834","2,560",909,"1,651",35.51%,64.49%,36/64
Morehead State University,KY,Public,"6,922","6,218",89.83%,"$27,329","8,982","3,469","5,513",38.62%,61.38%,39/61
Morehouse College,GA,Private not-for-profit,"3,777","2,462",65.18%,"$50,036","2,554","2,553",1,99.96%,0.04%,100/0
Morgan State University,MD,Public,"15,564","13,557",87.10%,"$36,206","8,469","3,267","5,202",38.58%,61.42%,39/61
Morningside University,IA,Private not-for-profit,"3,271","2,414",73.80%,"$51,480","2,319",832,"1,487",35.88%,64.12%,36/64
Mount Aloysius College,PA,Private not-for-profit,"1,403","1,296",92.37%,"$42,818","2,706",868,"1,838",32.08%,67.92%,32/68
Mount Holyoke College,MA,Private not-for-profit,"3,971","2,077",52.30%,"$77,678","2,342",18,"2,324",0.77%,99.23%,1/99
Mount Saint Joseph University,OH,Private not-for-profit,"2,511","1,586",63.16%,"$47,750","2,064",804,"1,260",38.95%,61.05%,39/61
Mount Saint Mary College,NY,Private not-for-profit,"2,784","2,546",91.45%,"$58,756","1,941",519,"1,422",26.74%,73.26%,27/73
Mount Saint Mary's University,CA,Private not-for-profit,"1,710","1,541",90.12%,"$69,345","2,625",274,"2,351",10.44%,89.56%,10/90
Mount St. Mary's University,MD,Private not-for-profit,"4,620","3,777",81.75%,"$62,940","2,570","1,316","1,254",51.21%,48.79%,51/49
Mount Vernon Nazarene University,OH,Private not-for-profit,"1,182","1,031",87.23%,"$49,380","2,064",788,"1,276",38.18%,61.82%,38/62
Muhlenberg College,PA,Private not-for-profit,"4,118","2,790",67.75%,"$74,895","2,095",849,"1,246",40.53%,59.47%,41/59
Murray State University,KY,Public,"9,144","7,787",85.16%,"$34,543","9,414","3,490","5,924",37.07%,62.93%,37/63
Muskingum University,OH,Private not-for-profit,"2,504","2,144",85.62%,"$46,008","2,171",846,"1,325",38.97%,61.03%,39/61
National Louis University,IL,Private not-for-profit,"1,518","1,473",97.04%,$0,"7,315","1,581","5,734",21.61%,78.39%,22/78
National University,CA,Private not-for-profit,154,84,54.55%,$0,"17,135","6,321","10,814",36.89%,63.11%,37/63
Nazareth College,NY,Private not-for-profit,"4,050","3,468",85.63%,"$57,500","2,639",651,"1,988",24.67%,75.33%,25/75
Nebraska Wesleyan University,NE,Private not-for-profit,"2,507","2,051",81.81%,"$55,742","1,816",757,"1,059",41.69%,58.31%,42/58
Neumann University,PA,Private not-for-profit,"3,463","2,916",84.20%,"$56,670","2,212",777,"1,435",35.13%,64.87%,35/65
Nevada State College,NV,Public,"1,230",972,79.02%,$0,"7,227","1,892","5,335",26.18%,73.82%,26/74
New England College,NH,Private not-for-profit,"5,952","5,951",99.98%,"$61,320","3,806","2,291","1,515",60.19%,39.81%,60/40
New England Institute of Technology,RI,Private not-for-profit,"2,058","1,409",68.46%,"$55,770","1,907","1,115",792,58.47%,41.53%,58/42
New Jersey City University,NJ,Public,"5,586","5,064",90.66%,"$45,871","6,918","2,606","4,312",37.67%,62.33%,38/62
New Jersey Institute of Technology,NJ,Public,"11,578","8,005",69.14%,"$56,622","11,901","8,592","3,309",72.20%,27.80%,72/28
New Mexico Institute of Mining and Technology,NM,Public,"1,006",973,96.72%,"$40,322","1,734","1,144",590,65.97%,34.03%,66/34
New Mexico State University-Main Campus,NM,Public,"12,535","7,177",57.26%,"$41,523","13,904","5,744","8,160",41.31%,58.69%,41/59
New York Institute of Technology,NY,Private not-for-profit,"10,469","8,412",80.35%,"$63,384","6,696","3,579","3,117",53.45%,46.55%,53/47
New York University,NY,Private not-for-profit,"95,517","12,380",12.96%,"$82,095","58,226","24,509","33,717",42.09%,57.91%,42/58
Newman University,KS,Private not-for-profit,695,498,71.65%,"$48,386","2,617",981,"1,636",37.49%,62.51%,37/63
Niagara University,NY,Private not-for-profit,"3,628","3,345",92.20%,"$52,490","3,708","1,296","2,412",34.95%,65.05%,35/65
Nicholls State University,LA,Public,"2,167","2,106",97.19%,"$25,543","6,225","2,153","4,072",34.59%,65.41%,35/65
Norfolk State University,VA,Public,"6,490","5,753",88.64%,"$37,878","5,458","1,784","3,674",32.69%,67.31%,33/67
North Carolina A & T State University,NC,Public,"21,528","12,346",57.35%,"$32,882","13,322","5,223","8,099",39.21%,60.79%,39/61
North Carolina Central University,NC,Public,"8,244","6,267",76.02%,"$39,038","7,953","2,270","5,683",28.54%,71.46%,29/71
North Carolina State University at Raleigh,NC,Public,"32,998","15,669",47.48%,"$47,493","36,831","18,623","18,208",50.56%,49.44%,51/49
North Central College,IL,Private not-for-profit,"4,551","3,113",68.40%,"$57,966","2,728","1,258","1,470",46.11%,53.89%,46/54
North Dakota State University-Main Campus,ND,Public,"8,143","7,773",95.46%,"$29,222","12,461","6,153","6,308",49.38%,50.62%,49/51
North Greenville University,SC,Private not-for-profit,"1,966","1,371",69.74%,"$41,800","2,273","1,047","1,226",46.06%,53.94%,46/54
North Park University,IL,Private not-for-profit,"4,053","2,721",67.14%,"$47,845","2,749","1,105","1,644",40.20%,59.80%,40/60
Northeastern Illinois University,IL,Public,"3,399","2,111",62.11%,"$42,552","6,440","2,504","3,936",38.88%,61.12%,39/61
Northeastern State University,OK,Public,"1,474","1,466",99.46%,"$28,627","7,025","2,363","4,662",33.64%,66.36%,34/66
Northeastern University,MA,Private not-for-profit,"75,244","13,829",18.38%,"$81,422","28,167","13,686","14,481",48.59%,51.41%,49/51
Northern Arizona University,AZ,Public,"42,872","33,592",78.35%,"$44,464","28,711","10,412","18,299",36.26%,63.74%,36/64
Northern Illinois University,IL,Public,"22,602","15,922",70.45%,"$27,822","16,234","7,372","8,862",45.41%,54.59%,45/55
Northern Kentucky University,KY,Public,"6,637","5,329",80.29%,"$35,396","15,979","5,639","10,340",35.29%,64.71%,35/65
Northern Michigan University,MI,Public,"6,553","4,670",71.27%,"$32,928","7,214","2,928","4,286",40.59%,59.41%,41/59
Northern State University,SD,Public,"1,229",981,79.82%,"$26,897","3,340","1,289","2,051",38.59%,61.41%,39/61
Northern Vermont University,VT,Public,"3,954","2,981",75.39%,"$42,046","1,746",636,"1,110",36.43%,63.57%,36/64
Northwest Missouri State University,MO,Public,"7,039","6,024",85.58%,"$28,973","7,870","3,180","4,690",40.41%,59.59%,40/60
Northwest Nazarene University,ID,Private not-for-profit,"2,843","2,506",88.15%,"$51,472","2,044",772,"1,272",37.77%,62.23%,38/62
Northwestern Oklahoma State University,OK,Public,"1,204",714,59.30%,"$24,484","1,791",713,"1,078",39.81%,60.19%,40/60
Northwestern State University of Louisiana,LA,Public,"3,738","3,599",96.28%,"$36,499","10,735","3,005","7,730",27.99%,72.01%,28/72
Northwestern University,IL,Private not-for-profit,"47,636","3,321",6.97%,"$89,394","23,409","10,964","12,445",46.84%,53.16%,47/53
Northwood University,MI,Private not-for-profit,"1,123",936,83.35%,"$47,822","2,422","1,428",994,58.96%,41.04%,59/41
Norwich University,VT,Private not-for-profit,"3,280","2,846",86.77%,"$65,400","3,672","2,618","1,054",71.30%,28.70%,71/29
Notre Dame of Maryland University,MD,Private not-for-profit,"1,816","1,182",65.09%,"$60,880","2,184",311,"1,873",14.24%,85.76%,14/86
Nova Southeastern University,FL,Private not-for-profit,"11,749","10,868",92.50%,"$56,870","20,898","5,814","15,084",27.82%,72.18%,28/72
Oakland University,MI,Public,"10,645","9,803",92.09%,"$38,366","17,170","7,268","9,902",42.33%,57.67%,42/58
Oberlin College,OH,Private not-for-profit,"10,597","3,639",34.34%,"$84,230","2,953","1,232","1,721",41.72%,58.28%,42/58
Occidental College,CA,Private not-for-profit,"6,495","2,484",38.24%,"$80,636","1,964",826,"1,138",42.06%,57.94%,42/58
Ohio Northern University,OH,Private not-for-profit,"5,205","3,586",68.90%,"$53,163","3,116","1,613","1,503",51.77%,48.23%,52/48
Ohio State University-Main Campus,OH,Public,"58,180","33,269",57.18%,"$54,422","61,677","29,739","31,938",48.22%,51.78%,48/52
Ohio University-Main Campus,OH,Public,"21,733","19,245",88.55%,"$39,582","24,797","9,991","14,806",40.29%,59.71%,40/60
Oklahoma Christian University,OK,Private not-for-profit,"1,499","1,447",96.53%,"$38,948","2,181","1,036","1,145",47.50%,52.50%,48/52
Oklahoma City University,OK,Private not-for-profit,"1,334","1,057",79.24%,"$46,480","2,551",918,"1,633",35.99%,64.01%,36/64
Oklahoma State University-Main Campus,OK,Public,"16,934","11,577",68.37%,"$41,724","24,577","11,774","12,803",47.91%,52.09%,48/52
Old Dominion University,VA,Public,"13,586","13,074",96.23%,"$48,950","23,494","10,105","13,389",43.01%,56.99%,43/57
Olivet Nazarene University,IL,Private not-for-profit,"5,881","3,561",60.55%,"$51,480","3,462","1,313","2,149",37.93%,62.07%,38/62
Oral Roberts University,OK,Private not-for-profit,"3,350","2,847",84.99%,"$47,316","4,711","1,904","2,807",40.42%,59.58%,40/60
Oregon Institute of Technology,OR,Public,"4,593","4,162",90.62%,"$49,277","4,910","2,352","2,558",47.90%,52.10%,48/52
Oregon State University,OR,Public,"23,188","20,687",89.21%,"$51,118","33,193","16,929","16,264",51.00%,49.00%,51/49
Otterbein University,OH,Private not-for-profit,"3,537","2,932",82.90%,"$50,630","2,605","1,010","1,595",38.77%,61.23%,39/61
Ouachita Baptist University,AR,Private not-for-profit,"2,610","1,925",73.75%,"$45,330","1,764",747,"1,017",42.35%,57.65%,42/58
Our Lady of the Lake University,TX,Private not-for-profit,"3,933","2,587",65.78%,"$44,954","2,550",641,"1,909",25.14%,74.86%,25/75
Pace University,NY,Private not-for-profit,"24,795","21,726",87.62%,"$73,252","13,479","4,658","8,821",34.56%,65.44%,35/65
Pacific Lutheran University,WA,Private not-for-profit,"3,220","2,846",88.39%,"$65,904","2,706",952,"1,754",35.18%,64.82%,35/65
Pacific University,OR,Private not-for-profit,"2,266","2,063",91.04%,"$69,330","3,751","1,190","2,561",31.72%,68.28%,32/68
Palm Beach Atlantic University,FL,Private not-for-profit,"1,923","1,728",89.86%,"$56,695","3,687","1,346","2,341",36.51%,63.49%,37/63
Pennsylvania College of Health Sciences,PA,Private not-for-profit,493,242,49.09%,$0,"1,816",201,"1,615",11.07%,88.93%,11/89
Pennsylvania State University-Main Campus,PA,Public,78578,45269,57.61%,"$58,263","42,223",22800,"19,423",54.00%,46.00%,54/46
Pepperdine University,CA,Private not-for-profit,"11,855","6,249",52.71%,"$85,202","10,446","3,602","6,844",34.48%,65.52%,34/66
Piedmont University,GA,Private not-for-profit,"2,124","1,423",67.00%,"$45,680","2,060",577,"1,483",28.01%,71.99%,28/72
Pittsburg State University,KS,Public,"2,216","2,075",93.64%,"$35,094","6,017","2,825","3,192",46.95%,53.05%,47/53
Plymouth State University,NH,Public,"6,856","6,285",91.67%,"$40,592","4,224","1,981","2,243",46.90%,53.10%,47/53
Point Loma Nazarene University,CA,Private not-for-profit,"3,060","2,560",83.66%,"$57,104","4,445","1,461","2,984",32.87%,67.13%,33/67
Point Park University,PA,Private not-for-profit,"6,076","5,002",82.32%,"$52,360","3,505","1,274","2,231",36.35%,63.65%,36/64
Point University,GA,Private not-for-profit,771,359,46.56%,"$35,300","1,666",782,884,46.94%,53.06%,47/53
Pomona College,CA,Private not-for-profit,"11,620",771,6.64%,"$81,196","1,764",801,963,45.41%,54.59%,45/55
Portland State University,OR,Public,"6,859","6,751",98.43%,"$48,345","22,858","9,597","13,261",41.99%,58.01%,42/58
Prairie View A & M University,TX,Public,"6,753","5,200",77.00%,"$42,430","9,400","3,069","6,331",32.65%,67.35%,33/67
Pratt Institute-Main,NY,Private not-for-profit,"7,922","5,376",67.86%,"$77,607","5,370","1,456","3,914",27.11%,72.89%,27/73
Princeton University,NJ,Private not-for-profit,"37,601","1,647",4.38%,"$80,415","8,478","4,514","3,964",53.24%,46.76%,53/47
Providence College,RI,Private not-for-profit,"11,129","6,453",57.98%,"$76,910","4,671","2,090","2,581",44.74%,55.26%,45/55
Purdue University Fort Wayne,IN,Public,"6,007","4,998",83.20%,"$36,426","8,298","4,014","4,284",48.37%,51.63%,48/52
Purdue University Northwest,IN,Public,"3,642","2,781",76.36%,"$29,047","8,794","3,609","5,185",41.04%,58.96%,41/59
Purdue University-Main Campus,IN,Public,"59,436","40,898",68.81%,"$41,724","50,344","29,057","21,287",57.72%,42.28%,58/42
Queens University of Charlotte,NC,Private not-for-profit,"3,503","2,424",69.20%,"$58,096","2,063",693,"1,370",33.59%,66.41%,34/66
Quinnipiac University,CT,Private not-for-profit,"15,722","13,855",88.12%,"$70,540","9,217","3,316","5,901",35.98%,64.02%,36/64
Radford University,VA,Public,"11,291","10,762",95.31%,"$39,600","8,998","2,919","6,079",32.44%,67.56%,32/68
Ramapo College of New Jersey,NJ,Public,"6,930","4,858",70.10%,"$44,759","5,732","2,296","3,436",40.06%,59.94%,40/60
Regent University,VA,Private not-for-profit,"5,240","2,133",40.71%,"$30,862","10,330","3,690","6,640",35.72%,64.28%,36/64
Regis College,MA,Private not-for-profit,"2,678","2,385",89.06%,"$67,300","3,599",489,"3,110",13.59%,86.41%,14/86
Regis University,CO,Private not-for-profit,"5,959","4,849",81.37%,"$60,354","5,566","1,870","3,696",33.60%,66.40%,34/66
Rensselaer Polytechnic Institute,NY,Private not-for-profit,"17,498","9,277",53.02%,"$79,934","6,774","4,675","2,099",69.01%,30.99%,69/31
Rhode Island College,RI,Public,"3,592","3,047",84.83%,"$42,603","6,331","1,856","4,475",29.32%,70.68%,29/71
Rhode Island School of Design,RI,Private not-for-profit,"4,742",886,18.68%,"$78,939","2,576",866,"1,710",33.62%,66.38%,34/66
Rhodes College,TN,Private not-for-profit,"5,318","3,025",56.88%,"$68,350","2,073",842,"1,231",40.62%,59.38%,41/59
Rice University,TX,Private not-for-profit,"29,544","2,802",9.48%,"$74,110","8,285","4,767","3,518",57.54%,42.46%,58/42
Rider University,NJ,Private not-for-profit,"8,791","7,204",81.95%,"$56,830","4,204","1,677","2,527",39.89%,60.11%,40/60
Ringling College of Art and Design,FL,Private not-for-profit,"2,117","1,455",68.73%,"$76,975","1,663",469,"1,194",28.20%,71.80%,28/72
Rivier University,NH,Private not-for-profit,"1,838","1,538",83.68%,"$54,502","2,424",564,"1,860",23.27%,76.73%,23/77
Roanoke College,VA,Private not-for-profit,"4,953","3,981",80.38%,"$53,966","1,863",854,"1,009",45.84%,54.16%,46/54
Robert Morris University,PA,Private not-for-profit,"5,012","4,709",93.95%,"$52,791","3,764","1,981","1,783",52.63%,47.37%,53/47
Roberts Wesleyan University,NY,Private not-for-profit,"1,340","1,171",87.39%,"$51,836","1,662",453,"1,209",27.26%,72.74%,27/73
Rochester Institute of Technology,NY,Private not-for-profit,"21,923","15,645",71.36%,"$72,296","16,790","11,037","5,753",65.74%,34.26%,66/34
Rockhurst University,MO,Private not-for-profit,"3,455","2,303",66.66%,"$59,444","3,626","1,273","2,353",35.11%,64.89%,35/65
Roger Williams University,RI,Private not-for-profit,"8,163","7,427",90.98%,"$61,606","4,529","2,252","2,277",49.72%,50.28%,50/50
Rollins College,FL,Private not-for-profit,"8,409","4,094",48.69%,"$75,310","3,057","1,248","1,809",40.82%,59.18%,41/59
Roosevelt University,IL,Private not-for-profit,"3,541","3,268",92.29%,"$53,693","4,127","1,436","2,691",34.80%,65.20%,35/65
Rose-Hulman Institute of Technology,IN,Private not-for-profit,"4,536","3,511",77.40%,"$74,226","2,101","1,586",515,75.49%,24.51%,75/25
Rowan University,NJ,Public,"11,659","9,767",83.77%,"$46,222","19,052","9,583","9,469",50.30%,49.70%,50/50
Russell Sage College,NY,Private not-for-profit,"1,884","1,377",73.09%,"$52,769","2,266",484,"1,782",21.36%,78.64%,21/79
Rutgers University-Camden,NJ,Public,"11,156","8,780",78.70%,"$52,329","6,569","2,601","3,968",39.60%,60.40%,40/60
Rutgers University-New Brunswick,NJ,Public,"43,161","29,419",68.16%,"$53,466","50,804","23,354","27,450",45.97%,54.03%,46/54
Rutgers University-Newark,NJ,Public,"14,456","11,194",77.43%,"$53,285","12,168","5,688","6,480",46.75%,53.25%,47/53
Sacred Heart University,CT,Private not-for-profit,"12,663","8,373",66.12%,"$67,950","9,785","2,980","6,805",30.45%,69.55%,30/70
Saginaw Valley State University,MI,Public,"5,899","4,590",77.81%,"$40,884","7,523","2,570","4,953",34.16%,65.84%,34/66
Saint Ambrose University,IA,Private not-for-profit,"4,005","2,900",72.41%,"$51,298","2,913","1,199","1,714",41.16%,58.84%,41/59
Saint Anselm College,NH,Private not-for-profit,"4,007","3,109",77.59%,"$65,620","1,977",769,"1,208",38.90%,61.10%,39/61
Saint Cloud State University,MN,Public,"4,228","3,988",94.32%,"$33,951","10,774","4,767","6,007",44.25%,55.75%,44/56
Saint Edward's University,TX,Private not-for-profit,"4,940","4,553",92.17%,"$68,778","3,577","1,268","2,309",35.45%,64.55%,35/65
Saint Francis University,PA,Private not-for-profit,"2,063","1,513",73.34%,"$58,972","3,034","1,111","1,923",36.62%,63.38%,37/63
Saint Johns University,MN,Private not-for-profit,"1,542","1,367",88.65%,"$66,954","1,643","1,599",44,97.32%,2.68%,97/3
Saint Joseph's University,PA,Private not-for-profit,"8,119","6,746",83.09%,"$67,266","6,464","2,806","3,658",43.41%,56.59%,43/57
Saint Leo University,FL,Private not-for-profit,"10,086","7,127",70.66%,"$46,602","9,523","3,628","5,895",38.10%,61.90%,38/62
Saint Louis University,MO,Private not-for-profit,"15,047","10,540",70.05%,"$70,676","13,474","5,346","8,128",39.68%,60.32%,40/60
Saint Mary's College of California,CA,Private not-for-profit,"3,523","2,469",70.08%,"$74,188","3,165","1,267","1,898",40.03%,59.97%,40/60
Saint Mary's University of Minnesota,MN,Private not-for-profit,"1,587","1,552",97.79%,"$54,870","4,701","1,510","3,191",32.12%,67.88%,32/68
Saint Norbert College,WI,Private not-for-profit,"4,067","3,463",85.15%,"$57,584","2,009",844,"1,165",42.01%,57.99%,42/58
Saint Peter's University,NJ,Private not-for-profit,"2,627","2,439",92.84%,"$59,298","3,009","1,199","1,810",39.85%,60.15%,40/60
Saint Xavier University,IL,Private not-for-profit,"7,780","6,597",84.79%,"$50,920","3,749","1,303","2,446",34.76%,65.24%,35/65
Salem State University,MA,Public,"6,287","5,659",90.01%,"$36,899","7,131","2,262","4,869",31.72%,68.28%,32/68
Salisbury University,MD,Public,"7,691","6,650",86.46%,"$37,862","7,570","3,169","4,401",41.86%,58.14%,42/58
Salve Regina University,RI,Private not-for-profit,"5,104","3,748",73.43%,"$67,780","2,828",921,"1,907",32.57%,67.43%,33/67
Sam Houston State University,TX,Public,"11,556","11,161",96.58%,"$34,906","21,612","7,676","13,936",35.52%,64.48%,36/64
Samford University,AL,Private not-for-profit,"4,217","3,537",83.87%,"$53,934","5,758","1,897","3,861",32.95%,67.05%,33/67
San Diego State University,CA,Public,"67,660","25,646",37.90%,"$43,990","36,484","15,350","21,134",42.07%,57.93%,42/58
San Francisco State University,CA,Public,"27,777","25,809",92.92%,"$41,005","26,899","11,635","15,264",43.25%,56.75%,43/57
San Jose State University,CA,Public,"30,441","25,682",84.37%,"$42,730","37,133","17,682","19,451",47.62%,52.38%,48/52
Santa Clara University,CA,Private not-for-profit,"16,848","9,095",53.98%,"$78,849","8,918","4,497","4,421",50.43%,49.57%,50/50
Sarah Lawrence College,NY,Private not-for-profit,"4,452","2,603",58.47%,"$79,414","1,766",373,"1,393",21.12%,78.88%,21/79
Savannah College of Art and Design,GA,Private not-for-profit,"14,914","12,047",80.78%,"$60,425","15,636","4,769","10,867",30.50%,69.50%,31/69
School of the Art Institute of Chicago,IL,Private not-for-profit,"5,835","4,725",80.98%,"$75,450","3,559",890,"2,669",25.01%,74.99%,25/75
School of Visual Arts,NY,Private for-profit,"4,208","3,000",71.29%,"$77,268","4,111","1,111","3,000",27.03%,72.97%,27/73
Seattle Pacific University,WA,Private not-for-profit,"4,359","4,008",91.95%,"$55,737","3,443","1,076","2,367",31.25%,68.75%,31/69
Seattle University,WA,Private not-for-profit,"8,539","7,012",82.12%,"$69,798","7,268","2,668","4,600",36.71%,63.29%,37/63
Seton Hall University,NJ,Private not-for-profit,"23,417","17,940",76.61%,"$69,492","9,881","4,233","5,648",42.84%,57.16%,43/57
Seton Hill University,PA,Private not-for-profit,"2,684","1,981",73.81%,"$57,274","2,012",686,"1,326",34.10%,65.90%,34/66
Shenandoah University,VA,Private not-for-profit,"2,616","1,945",74.35%,"$50,500","4,287","1,340","2,947",31.26%,68.74%,31/69
Shepherd University,WV,Public,"1,338","1,290",96.41%,"$33,584","3,015","1,095","1,920",36.32%,63.68%,36/64
Shippensburg University of Pennsylvania,PA,Public,"6,000","5,587",93.12%,"$30,392","5,667","2,602","3,065",45.91%,54.09%,46/54
Siena College,NY,Private not-for-profit,"8,597","7,121",82.83%,"$62,329","3,634","1,625","2,009",44.72%,55.28%,45/55
Siena Heights University,MI,Private not-for-profit,"1,502","1,028",68.44%,"$44,234","1,966",825,"1,141",41.96%,58.04%,42/58
Simmons University,MA,Private not-for-profit,"3,516","2,937",83.53%,"$64,548","5,984",484,"5,500",8.09%,91.91%,8/92
Skidmore College,NY,Private not-for-profit,"11,176","3,419",30.59%,"$81,890","2,686","1,097","1,589",40.84%,59.16%,41/59
Slippery Rock University of Pennsylvania,PA,Public,"4,936","3,924",79.50%,"$29,393","8,405","3,419","4,986",40.68%,59.32%,41/59
Smith College,MA,Private not-for-profit,"6,064","1,814",29.91%,"$82,134","2,924",60,"2,864",2.05%,97.95%,2/98
Sonoma State University,CA,Public,"10,598","9,934",93.73%,"$39,232","7,371","2,739","4,632",37.16%,62.84%,37/63
South Carolina State University,SC,Public,"2,497","2,187",87.59%,"$40,750","2,374","1,000","1,374",42.12%,57.88%,42/58
South Dakota School of Mines and Technology,SD,Public,"1,445","1,163",80.48%,"$29,940","2,416","1,845",571,76.37%,23.63%,76/24
South Dakota State University,SD,Public,"5,774","5,048",87.43%,"$26,444","11,465","5,050","6,415",44.05%,55.95%,44/56
Southeast Missouri State University,MO,Public,"7,213","5,720",79.30%,"$31,558","9,851","3,853","5,998",39.11%,60.89%,39/61
Southeastern Baptist Theological Seminary,NC,Private not-for-profit,89,80,89.89%,"$20,751","3,048","2,182",866,71.59%,28.41%,72/28
Southeastern Louisiana University,LA,Public,"5,634","5,574",98.94%,"$37,051","13,456","4,870","8,586",36.19%,63.81%,36/64
Southeastern Oklahoma State University,OK,Public,825,608,73.70%,"$27,980","5,420","2,235","3,185",41.24%,58.76%,41/59
Southeastern University,FL,Private not-for-profit,"4,940","2,219",44.92%,"$46,308","9,365","3,871","5,494",41.33%,58.67%,41/59
Southern Adventist University,TN,Private not-for-profit,"1,914","1,424",74.40%,"$37,600","2,719","1,147","1,572",42.18%,57.82%,42/58
Southern Arkansas University Main Campus,AR,Public,"2,813","1,761",62.60%,"$30,875","4,434","1,821","2,613",41.07%,58.93%,41/59
Southern Connecticut State University,CT,Public,"7,294","6,049",82.93%,"$43,598","8,788","3,043","5,745",34.63%,65.37%,35/65
Southern Illinois University-Carbondale,IL,Public,"6,987","6,648",95.15%,"$30,089","11,266","5,633","5,633",50.00%,50.00%,50/50
Southern Illinois University-Edwardsville,IL,Public,"8,995","8,821",98.07%,"$26,862","13,010","5,419","7,591",41.65%,58.35%,42/58
Southern Methodist University,TX,Private not-for-profit,"15,685","8,333",53.13%,"$83,130","12,385","6,358","6,027",51.34%,48.66%,51/49
Southern New Hampshire University,NH,Private not-for-profit,"27,953","25,736",92.07%,"$37,280","145,533","52,410","93,123",36.01%,63.99%,36/64
Southern Oregon University,OR,Public,"1,913","1,716",89.70%,"$48,369","5,179","1,937","3,242",37.40%,62.60%,37/63
